pipeline	fitness	fit_time
randomForest(18,'entropy','sqrt',12,12,False,'balanced_subsample')	invalid_ind	invalid_ind
minMaxScaler();qda(0.9935430415726941)	invalid_ind	invalid_ind
kNN(2,'uniform',2)	invalid_ind	invalid_ind
minMaxScaler();randomOverSampler('not majority');passiveAggressiveClassifier(True,'hinge',0.7696769233615699)	invalid_ind	invalid_ind
bernoulliNB(1.505733687781938,False)	invalid_ind	invalid_ind
qda(0.7288404975962923)	invalid_ind	invalid_ind
randomUnderSampler('not majority',False);minMaxScaler();varianceThreshold();adaBoost(46,0.023371504633890244,'SAMME',5)	invalid_ind	invalid_ind
maxAbsScaler();maxAbsScaler();decisionTree('gini',0.7069162336894226,8,0.6265900851958079,15,'balanced')	invalid_ind	invalid_ind
randomOverSampler('not minority');lda(0.19064305910167811,219,0.00015822712516803784)	invalid_ind	invalid_ind
smoteTomek('minority');bernoulliNB(0.10286472363063233,True)	invalid_ind	invalid_ind
qda(0.5725067754107345)	invalid_ind	invalid_ind
simpleImputer('median');smote('not majority',2);normalizer('max');decisionTree('gini',1.8631326091006168,4,0.9657737950039332,17,'None')	0.668190547316761	1.098797082901001
pca(0.7859117038034326,True);rbfSampler(0.06390367953156907,75);gaussianNB(2.9119186963333185e-09)	invalid_ind	invalid_ind
fastICA(9,'deflation',False,'exp');randomUnderSampler('minority',False);pca(0.9869385617841194,True);logisticRegression('l2',True,14.096122742000226,'None')	invalid_ind	invalid_ind
randomForest(53,'gini','sqrt',11,10,False,'None')	invalid_ind	invalid_ind
multinomialNB(0.9999588255190095,True)	invalid_ind	invalid_ind
varianceThreshold();multinomialNB(99.14120826350836,True)	invalid_ind	invalid_ind
rbfSampler(0.025216264922572545,51);minMaxScaler();passiveAggressiveClassifier(True,'hinge',7.46648322951792e-05)	invalid_ind	invalid_ind
knnImputer('median','uniform',8);linearSvc('l2','squared_hinge',True,0.00013166352989844423,0.0003556538216376541,'balanced')	0.4966019417475729	14.62194275856018
smote('not majority',2);minMaxScaler();qda(0.5468527450605734)	invalid_ind	invalid_ind
extraTreesClassifier(51,'entropy','log2',18,19,False,'None')	invalid_ind	invalid_ind
lda(0.05066508464227448,15,3.852017137351399e-05)	invalid_ind	invalid_ind
varianceThreshold();robustScaler(True,False);extraTreesClassifier(45,'entropy','sqrt',5,1,False,'None')	invalid_ind	invalid_ind
varianceThreshold();qda(0.49975745789808235)	invalid_ind	invalid_ind
pca(0.9144009303472067,False);adaBoost(85,0.8166918011754508,'SAMME',10)	invalid_ind	invalid_ind
minMaxScaler();standardScaler(False,True);passiveAggressiveClassifier(True,'squared_hinge',0.003750603866769089)	invalid_ind	invalid_ind
randomOverSampler('not majority');maxAbsScaler();selectPercentile(28.31004112577202);qda(0.2218908144527063)	invalid_ind	invalid_ind
normalizer('l2');randomForest(92,'entropy','log2',5,1,True,'None')	invalid_ind	invalid_ind
selectPercentile(22.204598273372373);kNN(9,'uniform',2)	invalid_ind	invalid_ind
knnImputer('mean','uniform',10);varianceThreshold();varianceThreshold();passiveAggressiveClassifier(False,'hinge',0.27604811245579225)	invalid_ind	invalid_ind
randomUnderSampler('not majority',False);varianceThreshold();varianceThreshold();decisionTree('entropy',1.5463395265669093,13,0.4827940946987822,3,'balanced')	invalid_ind	invalid_ind
truncatedSVD(98,'arpack');logisticRegression('l2',True,0.013598002682457826,'None')	invalid_ind	invalid_ind
linearSvc('l2','hinge',True,4.0297625402356175e-05,0.03352967503389113,'balanced')	invalid_ind	invalid_ind
randomOverSampler('not majority');passiveAggressiveClassifier(False,'squared_hinge',0.0001978185605439674)	invalid_ind	invalid_ind
featureAgglomeration(21,'manhattan','average');minMaxScaler();mlpClassifier(0.00035584374501125056,0.024689418425158025,'sgd','logistic')	invalid_ind	invalid_ind
