   	      	                         fitness                         	                          size                          
   	      	---------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std      	min     	max     	avg     	std     
0  	100   	0       	0.518644	0.015167	0.0862583	1       	5       	2.92    	1.03615 
1  	94    	0       	0.568393	0.030968	0.122729 	1       	5       	3.1     	1.05357 
2  	91    	0       	0.605025	0.0418856	0.142431 	1       	5       	3.36    	1.08185 
3  	99    	0       	0.605025	0.0641642	0.174185 	1       	5       	3.48    	1.00479 
4  	96    	0       	0.674933	0.0756634	0.188506 	2       	5       	3.43    	1.03204 
5  	95    	0       	0.674933	0.148528 	0.239198 	1       	5       	3.32    	1.00876 
6  	98    	0       	0.675419	0.208575 	0.256468 	1       	5       	3.3     	0.943398
7  	97    	0       	0.675419	0.251756 	0.269689 	1       	5       	3.21    	0.875157
8  	99    	0       	0.675419	0.316784 	0.266764 	1       	5       	3.24    	0.873155
9  	92    	0       	0.675419	0.369796 	0.251139 	2       	4       	3.23    	0.785557
10 	96    	0       	0.675419	0.386972 	0.245332 	2       	5       	3.36    	0.768375
11 	100   	0       	0.685613	0.413399 	0.238144 	2       	5       	3.42    	0.814616
12 	99    	0       	0.685613	0.383541 	0.262431 	2       	5       	3.48    	0.754718
13 	95    	0       	0.685613	0.42098  	0.250044 	1       	5       	3.46    	0.767072
14 	93    	0       	0.685613	0.442773 	0.234961 	2       	5       	3.64    	0.608605
15 	93    	0       	0.685613	0.458958 	0.237129 	1       	5       	3.6     	0.761577
16 	94    	0       	0.685613	0.473459 	0.245562 	1       	5       	3.55    	0.68374 
17 	97    	0       	0.685613	0.457629 	0.251482 	1       	5       	3.47    	0.817985
18 	94    	0       	0.685613	0.452286 	0.256605 	1       	4       	3.57    	0.651997
19 	93    	0       	0.685613	0.483784 	0.230807 	2       	4       	3.57    	0.604235
20 	94    	0       	0.685613	0.491144 	0.233888 	1       	5       	3.65    	0.653835
21 	90    	0       	0.685613	0.476759 	0.269152 	1       	5       	3.64    	0.685857
22 	91    	0       	0.685613	0.504379 	0.253904 	1       	4       	3.52    	0.699714
23 	93    	0       	0.685613	0.51327  	0.256588 	1       	4       	3.4     	0.632456
24 	95    	0       	0.685613	0.519115 	0.25228  	1       	5       	3.34    	0.724155
25 	95    	0       	0.685613	0.504145 	0.253947 	1       	5       	3.44    	0.778717
