pipeline	fitness	fit_time
nystroem('rbf',0.015997123519459765,42,3,-0.37970486136133474);knnImputer('mean','distance',8);bernoulliNB(37.63877432827596,True)	0.1	0.4708836078643799
randomUnderSampler('minority',True);minMaxScaler();smoteTomek('not minority');randomForest(47,'gini','log2',19,7,True,'None')	invalid_ind	invalid_ind
minMaxScaler();knnImputer('most_frequent','distance',10);normalizer('max');decisionTree('entropy',0.1647459763932948,5,0.4864442019691668,11,'balanced')	0.1	0.22610092163085938
selectFwe(0.001566104590221215);sgdClassifier('log',1.5416537891833136e-06,0.03700098958991189,9.396191558610814e-05,0.047371002280641554,0.035118139398068564,0.39121549722873367,False,'balanced')	0.421506942772316	0.5496354103088379
logisticRegression('l2',True,0.1816318746075476,'None')	invalid_ind	invalid_ind
adaBoost(55,0.22964175283795854,'SAMME',10)	0.19150833087600788	1.0362918376922607
minMaxScaler();randomForest(82,'entropy','log2',14,9,False,'None')	0.446683092274834	1.8726801872253418
lda(0.673403459483394,152,0.00459602431987827)	invalid_ind	invalid_ind
knnImputer('most_frequent','distance',2);standardScaler(True,False);smote('not minority',4);decisionTree('entropy',0.376002588101656,4,0.8374483937438901,5,'balanced')	0.1	0.30975890159606934
varianceThreshold();maxAbsScaler();minMaxScaler();sgdClassifier('log',6.2954310445384e-05,1.1801872737604759e-05,7.361931982092987e-05,0.03994348984610752,0.006199684662180237,0.6449442200334335,False,'balanced')	0.47040795068461294	0.5808141231536865
maxAbsScaler();minMaxScaler();sgdClassifier('hinge',4.3211223863539155e-06,5.761499639506651e-09,9.968508221968233e-05,0.0008375581303786188,5.9378697243532096e-05,0.13846556465723855,False,'None')	0.4084626665496461	0.3649437427520752
minMaxScaler();normalizer('l1');decisionTree('entropy',0.8294432179428848,5,0.5608299889315482,16,'None')	0.1	0.208784818649292
maxAbsScaler();rbfSampler(0.007178523498457666,20);lda(0.5564746075794378,75,0.05265173078189771)	invalid_ind	invalid_ind
maxAbsScaler();selectPercentile(49.71457246690581);varianceThreshold();extraTreesClassifier(68,'entropy','log2',19,5,False,'None')	0.40057136415324796	0.9557240009307861
varianceThreshold();robustScaler(True,False);varianceThreshold();gaussianNB(0.00432275616387422)	invalid_ind	invalid_ind
varianceThreshold();maxAbsScaler();smote('not majority',2);kNN(3,'distance',2)	0.5044633592348224	0.3970165252685547
